fold,case,DSC_LV,DSC_MYO,ASSD_LVEndo,ASSD_LVEpi,HD_LVEndo,HD_LVEpi,Jac_neg_pct
0,P001-1,0.8795833,0.8246412,2.466689109802246,2.604816198348999,8.0,8.0,0.6368001302083333
0,P001-2,0.8798445,0.82098794,2.6448912620544434,2.5895628929138184,8.0,8.0,0.2516004774305555
0,P001-3,0.85093874,0.79297197,2.378664493560791,3.0226166248321533,8.0,8.003905296325684,0.17632378472222224
0,P001-4,0.83730334,0.7850212,2.583270788192749,2.8300249576568604,8.0,8.381526947021484,0.4733615451388889
0,P002-1,0.90902126,0.8764083,1.0383549928665161,1.140384316444397,5.0,5.153882026672363,0.656467013888889
0,P002-2,0.823378,0.7850892,2.189337968826294,2.8062148094177246,7.603453159332275,8.381526947021484,0.5974663628472222
0,P002-3,0.885172,0.8403708,1.5410736799240112,1.8087000846862793,6.25,8.0,0.4733615451388889
0,P002-4,0.83698213,0.8444645,2.3550071716308594,2.1626062393188477,8.0,8.0,0.539822048611111
0,P003-1,0.87062716,0.85618204,1.9584585428237915,1.6847333908081055,8.0,8.0,0.509982638888889
0,P003-2,0.8972692,0.7906904,1.11758291721344,1.7790720462799072,6.25,8.0,0.592041015625
0,P003-3,0.8587715,0.8164196,1.5508910417556763,1.8483489751815796,7.288690090179443,8.0,0.38045247395833337
0,P003-4,0.7707379,0.7775158,2.6647257804870605,2.322892189025879,8.381526947021484,8.0,0.22108289930555555
0,P004-1,0.83491504,0.83602816,3.9434101581573486,3.5438122749328613,14.682046890258789,10.965856552124023,0.47607421875
0,P004-2,0.79990935,0.81253916,2.727163553237915,2.7588789463043213,8.192984580993652,8.381526947021484,1.6547309027777777
0,P004-3,0.81392014,0.83662736,2.8259401321411133,2.672090768814087,8.097067832946777,8.003905296325684,0.4570855034722222
0,P005-1,0.9235901,0.8521345,0.7448488473892212,1.35415518283844,3.535533905029297,6.7314558029174805,0.4530164930555556
0,P005-2,0.8514558,0.81693506,2.1133170127868652,2.2036824226379395,8.0,8.0,0.6598578559027778
0,P005-4,0.90493774,0.85236186,2.194283962249756,2.3734841346740723,8.0,8.0,0.2529568142361111
0,P006-1,0.87602484,0.7613036,1.464428186416626,3.4907853603363037,5.590169906616211,12.051970481872559,0.2556694878472222
0,P006-2,0.76802826,0.7071411,2.9017465114593506,3.7437753677368164,8.003905296325684,15.660459518432617,0.1919216579861111
0,P006-3,0.8592849,0.8083986,2.75500226020813,2.982311725616455,8.0,9.182184219360352,0.24549696180555555
0,P006-4,0.8742583,0.7852685,1.7128130197525024,2.8465516567230225,6.7314558029174805,8.381526947021484,0.4353841145833333
0,P007-1,0.9103899,0.75510323,1.4941314458847046,2.072613000869751,8.0,8.0,0.6998697916666667
0,P007-2,0.89700085,0.6732107,1.3401845693588257,2.5354552268981934,8.0,8.838834762573242,0.5818684895833333
0,P007-3,0.9301359,0.79420805,0.5443713068962097,1.5318669080734253,2.5,8.0,0.3553602430555555
0,P007-4,0.897157,0.76955575,1.5553228855133057,2.259551525115967,8.0,8.0,0.4475911458333333
0,P008-1,0.8089829,0.7843012,2.5199191570281982,3.1713199615478516,8.0,9.182184219360352,0.7697211371527778
0,P008-2,0.7989089,0.7884894,2.409353256225586,2.831768274307251,8.385254859924316,8.923284530639648,0.7459852430555556
0,P008-3,0.87020004,0.88053066,2.240037202835083,1.6839368343353271,8.0,8.0,0.9223090277777778
0,P008-4,0.8971428,0.81234473,1.4351693391799927,2.4952011108398438,7.905694007873535,8.381526947021484,0.766330295138889
0,P009-1,0.90244913,0.7717112,0.9418275952339172,2.1594078540802,4.506938934326172,8.746427536010742,0.4543728298611111
0,P009-2,0.85071355,0.65089923,1.6371098756790161,3.4508330821990967,7.288690090179443,14.682046890258789,0.6693522135416667
0,P009-3,0.8266521,0.7405264,3.535656452178955,3.6186134815216064,10.244462013244629,12.051970481872559,1.0572645399305556
0,P009-4,0.88536435,0.7967926,1.7308515310287476,2.3971188068389893,8.0,8.385254859924316,0.5472819010416667
0,P010-1,0.7827141,0.8189747,2.7151668071746826,2.1773505210876465,8.381526947021484,8.0,0.3655327690972222
0,P010-2,0.78387,0.81759423,3.5960371494293213,2.456498861312866,9.026817321777344,8.097067832946777,0.4442003038194444
0,P010-3,0.8261791,0.58435994,2.523818016052246,4.8283538818359375,8.097067832946777,21.96730613708496,0.545925564236111
0,P010-4,0.6898547,0.8162862,4.379217624664307,2.754960298538208,11.180339813232422,8.75,0.3512912326388889
0,P011-1,0.8518118,0.8342171,1.8668251037597656,2.242842435836792,8.0,8.0,0.3614637586805555
0,P012-1,0.6848184,0.6358508,5.271677017211914,5.1322197914123535,15.917744636535645,13.975424766540527,0.8158365885416666
0,P012-2,0.8865052,0.658805,1.9088869094848633,3.8180291652679443,8.0,12.434829711914062,0.4408094618055556
0,P012-3,0.77358973,0.6889065,4.156226634979248,4.294591426849365,14.252192497253418,11.589326858520508,0.6551106770833333
0,P012-4,0.9128581,0.7965741,0.8659117817878723,1.632420539855957,4.506938934326172,8.0,1.4987521701388888
0,P013-1,0.7983618,0.802423,2.1596896648406982,1.919075608253479,8.75,8.192984580993652,0.592041015625
0,P013-2,0.8420671,0.7434787,1.7970905303955078,2.4185376167297363,8.0,8.003905296325684,1.0986328125
0,P014-1,0.90731424,0.74773383,1.407020092010498,3.085522174835205,8.0,11.921619415283203,0.9718153211805556
0,P014-2,0.9117666,0.8403304,1.2920180559158325,1.8784186840057373,8.0,8.0,0.7005479600694444
0,P014-3,0.8233275,0.7582525,3.702275037765503,3.987172842025757,11.25,13.402424812316895,0.4916720920138889
0,P015-1,0.8781413,0.74349403,1.554368019104004,2.9012839794158936,8.0,9.433980941772461,1.215277777777778
0,P015-2,0.85746306,0.6999948,1.8674883842468262,2.828306198120117,8.0,8.835298538208008,1.355658637152778
0,P015-3,0.8265691,0.752115,2.7022340297698975,2.724625825881958,8.0,8.0,0.93994140625
0,P015-4,0.85492754,0.75773054,1.8547250032424927,2.24393892288208,8.0,8.0,1.2234157986111112
0,P016-1,0.73695797,0.6762145,2.826338768005371,3.047208547592163,9.762811660766602,9.433980941772461,0.4916720920138889
0,P016-2,0.81752205,0.6302394,2.1877050399780273,3.3046622276306152,8.0,12.116621017456055,0.23396809895833334
0,P016-3,0.892331,0.672231,1.0691018104553223,3.2030911445617676,5.0,13.285329818725586,0.262451171875
0,P016-4,0.8545582,0.69326365,2.1083076000213623,2.694399356842041,8.0,8.838834762573242,0.5818684895833333
0,P017-1,0.85507673,0.63384074,1.4103621244430542,3.4673383235931396,5.590169906616211,12.116621017456055,0.5113389756944444
0,P017-2,0.8572969,0.7847956,1.2619357109069824,1.930428147315979,5.153882026672363,8.0,0.3248426649305555
0,P017-3,0.82705617,0.63450336,1.6869431734085083,3.8873870372772217,6.7314558029174805,12.621905326843262,0.18853081597222224
0,P018-1,0.9019359,0.71064967,0.8024278283119202,2.0623536109924316,3.535533905029297,8.000585556030273,0.6544325086805556
0,P018-2,0.8323584,0.72560894,1.4233617782592773,1.7947834730148315,7.071067810058594,8.0,1.6004774305555556
0,P018-3,0.76231736,0.6231012,2.972277879714966,3.1116020679473877,10.965856552124023,10.60660171508789,0.3323025173611111
0,P019-1,0.83652854,0.8511719,1.7857179641723633,2.1526989936828613,7.288690090179443,8.0,0.8097330729166666
0,P019-3,0.8532858,0.7774628,1.6457345485687256,2.570639133453369,7.5,9.433980941772461,0.4184299045138889
0,P019-4,0.84929264,0.7761481,1.6941784620285034,2.8437983989715576,7.288690090179443,10.455262184143066,0.42724609375
0,P020-1,0.78512394,0.68299985,3.3763668537139893,4.11260986328125,12.621905326843262,12.867109298706055,1.404486762152778
0,P020-2,0.7758248,0.6813027,2.638026714324951,3.5305254459381104,8.097067832946777,10.822430610656738,0.4869249131944444
0,P020-3,0.69369835,0.5469097,3.8776745796203613,5.4908881187438965,11.524430274963379,20.155643463134766,0.516086154513889
0,P020-4,0.7572414,0.78554475,3.2664854526519775,2.768950939178467,8.838834762573242,8.0,0.958251953125
1,P001-1,0.9108209,0.83935696,1.102516770362854,1.655272364616394,5.0,8.0,1.117621527777778
1,P001-2,0.9119655,0.8744239,1.0300544500350952,1.163494348526001,5.0,5.590169906616211,0.5669487847222222
1,P001-3,0.8742705,0.78080446,1.5998605489730835,2.9426326751708984,5.590169906616211,8.0,0.5235460069444444
1,P001-4,0.86073077,0.7818906,1.8518970012664795,2.759808301925659,7.071067810058594,8.192984580993652,0.8056640625
1,P002-1,0.9182316,0.9037264,0.7324507236480713,0.8434773683547974,3.535533905029297,3.75,0.9636773003472222
1,P002-2,0.8379347,0.80690277,1.7785735130310059,2.3975040912628174,7.288690090179443,8.0,0.9921603732638888
1,P002-3,0.90336716,0.8585359,1.067717432975769,1.4265340566635132,4.506938934326172,7.905694007873535,0.7554796006944444
1,P002-4,0.82434946,0.833918,2.793508768081665,2.5405356884002686,8.0,8.0,0.9297688802083334
1,P003-1,0.90629023,0.8643802,0.9486116766929626,1.0285038948059082,4.506938934326172,5.0,0.7392035590277778
1,P003-2,0.8894044,0.79445726,1.496802568435669,1.8121565580368042,8.0,8.0,0.9304470486111112
1,P003-3,0.9058178,0.83285475,0.8633673787117004,1.2877254486083984,3.9528470039367676,6.7314558029174805,0.6856282552083333
1,P003-4,0.8274833,0.76776177,1.9160207509994507,2.225741386413574,7.288690090179443,8.0,0.7425944010416667
1,P004-1,0.84363353,0.85300964,3.5816171169281006,3.2204525470733643,10.965856552124023,8.835298538208008,0.4747178819444444
1,P004-2,0.7439951,0.75184596,4.148916244506836,3.7444584369659424,11.921619415283203,11.3164701461792,1.9816080729166667
1,P004-3,0.86085165,0.8511677,2.0168356895446777,2.1853866577148438,8.0,8.0,1.018608940972222
1,P005-1,0.92588264,0.85978,1.0992748737335205,1.510439395904541,6.25,8.0,0.8795844184027778
1,P005-2,0.91245157,0.83683604,0.9049239158630371,1.3272507190704346,3.75,6.373774528503418,0.9745279947916666
1,P005-4,0.88433325,0.8388833,2.8110392093658447,2.9442062377929688,8.0,8.0,0.567626953125
1,P006-1,0.89306456,0.78481084,1.3534457683563232,3.2496376037597656,6.25,10.151969909667969,0.9168836805555556
1,P006-2,0.85426325,0.7125761,1.4349309206008911,3.046046018600464,6.25,14.028987884521484,0.3451877170138889
1,P006-3,0.8897422,0.82526064,1.423274278640747,2.0321898460388184,6.25,8.746427536010742,0.555419921875
1,P006-4,0.9059913,0.7960369,1.2066736221313477,2.5581471920013428,5.303300857543945,8.0,0.772433810763889
1,P007-1,0.89482766,0.770178,1.7769566774368286,1.9706705808639526,8.0,8.0,1.024712456597222
1,P007-2,0.8864639,0.73058647,1.7707724571228027,2.5509510040283203,8.0,8.192984580993652,1.0545518663194444
1,P007-3,0.929514,0.8283477,0.5097155570983887,1.142713189125061,2.5,6.25,0.5262586805555556
1,P007-4,0.8977571,0.79653525,1.7906619310379028,1.9250823259353638,8.0,8.0,0.7439507378472222
1,P008-1,0.8879169,0.8108273,1.225030779838562,2.4980549812316895,6.25,8.0,1.6696506076388888
1,P008-2,0.888943,0.80300164,1.0820631980895996,2.246586799621582,5.153882026672363,8.0,1.111518012152778
1,P008-3,0.816974,0.84045005,2.3437633514404297,2.1192336082458496,7.905694007873535,8.0,1.434326171875
1,P008-4,0.91590446,0.8320327,1.0006870031356812,2.2290637493133545,5.153882026672363,8.0,0.8009168836805556
1,P009-1,0.9151318,0.7832262,0.8378129601478577,2.068697452545166,4.506938934326172,8.746427536010742,0.6361219618055556
1,P009-2,0.9062421,0.66066533,0.8448542952537537,2.8667895793914795,3.9528470039367676,13.804437637329102,1.0877821180555556
1,P009-3,0.82870066,0.75128096,2.655174732208252,2.5830705165863037,8.027195930480957,8.381526947021484,1.8290201822916667
1,P009-4,0.90800565,0.78581417,1.058545708656311,2.182748556137085,4.506938934326172,8.381526947021484,0.9596082899305556
1,P010-1,0.8186087,0.80722255,2.542928695678711,1.9857258796691895,8.0,8.0,0.6083170572916667
1,P010-2,0.809718,0.8157,3.26497745513916,2.1450448036193848,9.759610176086426,8.097067832946777,0.5852593315972222
1,P010-3,0.84443134,0.6387238,2.432661294937134,4.174935817718506,8.0,16.097360610961914,0.6096733940972222
1,P010-4,0.7695418,0.81443244,3.9013400077819824,2.4301350116729736,10.455262184143066,8.192984580993652,0.606960720486111
1,P011-1,0.8660507,0.8366333,2.0351409912109375,2.2854506969451904,8.0,8.0,1.026068793402778
1,P012-1,0.7967499,0.6553502,3.500958204269409,4.287884712219238,9.516432762145996,11.25,1.4797634548611112
1,P012-2,0.92301786,0.706973,0.6693832278251648,2.8597662448883057,2.7950849533081055,9.516432762145996,0.8293999565972222
1,P012-3,0.82834476,0.7172119,3.212249517440796,3.8336002826690674,8.474225997924805,9.182184219360352,0.8511013454861112
1,P012-4,0.8372973,0.7740082,1.4122965335845947,1.7715768814086914,7.288690090179443,8.0,1.8466525607638888
1,P013-1,0.8311835,0.8092822,1.7930805683135986,1.6976945400238037,7.905694007873535,8.0,0.9589301215277778
1,P013-2,0.8059844,0.7426982,2.3639822006225586,2.8895907402038574,8.868391990661621,8.835298538208008,1.2281629774305556
1,P014-1,0.87289786,0.76963556,2.732117176055908,3.1235673427581787,8.097067832946777,9.598176956176758,1.4322916666666665
1,P014-2,0.9008819,0.85303026,1.912216067314148,2.0193018913269043,8.0,8.0,1.275634765625
1,P014-3,0.88264036,0.7894953,2.1247193813323975,2.75657320022583,8.0,8.474225997924805,0.8755154079861112
1,P015-1,0.8756116,0.80833626,1.6309611797332764,1.929414987564087,8.0,8.0,1.6615125868055556
1,P015-2,0.8577225,0.7381517,1.460081934928894,2.3068392276763916,8.0,9.516432762145996,1.7903645833333333
1,P015-3,0.84527606,0.7805202,1.972688913345337,1.887189269065857,8.0,8.0,1.7578125
1,P015-4,0.81032866,0.7157286,2.499619245529175,2.322499990463257,9.182184219360352,8.003905296325684,2.181667751736111
1,P016-1,0.7511579,0.6681015,2.5435550212860107,2.878887891769409,8.746427536010742,8.746427536010742,0.9555392795138888
1,P016-2,0.84611934,0.6561441,1.683276891708374,2.9265382289886475,8.0,8.923284530639648,0.6659613715277778
1,P016-3,0.89811,0.6917978,0.9285668730735779,2.835862398147583,5.0,9.519716262817383,0.5391438802083333
1,P016-4,0.85446054,0.72395265,1.9025779962539673,2.5194427967071533,8.0,8.385254859924316,0.8551703559027778
1,P017-1,0.8687727,0.6738607,1.2111947536468506,3.1963937282562256,5.303300857543945,10.0,0.8890787760416666
1,P017-2,0.86809427,0.8122605,1.0780819654464722,1.4692637920379639,5.0,6.7314558029174805,0.6978352864583333
1,P017-3,0.83522356,0.69656336,1.5953186750411987,3.219858407974243,6.25,8.838834762573242,0.4442003038194444
1,P018-1,0.8787167,0.7455271,1.1139498949050903,1.8931233882904053,5.303300857543945,8.0,1.1027018229166665
1,P018-2,0.67169964,0.6004347,3.206615447998047,2.9103446006774902,11.25,9.759610176086426,2.2040473090277777
1,P018-3,0.7380554,0.7119612,3.0660908222198486,2.7306978702545166,10.077821731567383,10.0,0.81787109375
1,P019-1,0.8342639,0.882709,1.8556501865386963,1.7585691213607788,7.288690090179443,8.0,1.0206434461805556
1,P019-3,0.87062347,0.8119313,1.4518709182739258,2.3471648693084717,7.5,8.835298538208008,0.6368001302083333
1,P019-4,0.8425157,0.82353735,1.8008863925933838,2.5402638912200928,7.603453159332275,8.474225997924805,0.7439507378472222
1,P020-1,0.84205574,0.7307982,2.2350971698760986,2.84277606010437,8.0,8.835298538208008,1.8758138020833333
1,P020-2,0.82652426,0.67381495,1.759844422340393,3.1211464405059814,7.288690090179443,10.151969909667969,0.9080674913194444
1,P020-3,0.7693066,0.6141301,2.8295555114746094,4.286162376403809,8.0,16.04875373840332,1.184760199652778
1,P020-4,0.8292314,0.787531,1.8965833187103271,1.6972652673721313,7.905694007873535,7.603453159332275,1.4234754774305556
2,P001-1,0.91182524,0.8239218,1.7262927293777466,2.099543571472168,8.0,8.0,0.8599175347222222
2,P001-2,0.9051171,0.8530449,1.9312952756881714,1.7208162546157837,8.0,8.0,0.4218207465277778
2,P001-3,0.8670173,0.79959816,2.0392191410064697,2.729853868484497,7.603453159332275,8.0,0.6429036458333333
2,P001-4,0.86358863,0.81330806,2.103982448577881,2.4173550605773926,7.603453159332275,8.0,0.8836534288194444
2,P002-1,0.9298811,0.8856059,0.5929798483848572,0.9166754484176636,2.5,3.9528470039367676,0.9311252170138888
2,P002-2,0.8571673,0.80817217,1.6346668004989624,2.384742498397827,7.288690090179443,8.0,0.8633083767361112
2,P002-3,0.9140782,0.8620952,0.9760844111442566,1.2841176986694336,4.506938934326172,6.373774528503418,0.811767578125
2,P002-4,0.8525859,0.83028466,2.1721224784851074,2.293511390686035,8.0,8.0,0.9236653645833334
2,P003-1,0.88983005,0.8586359,1.2615493535995483,1.2986818552017212,5.590169906616211,6.25,0.4245334201388889
2,P003-2,0.9021493,0.78038573,1.2187604904174805,1.8530102968215942,8.0,8.0,0.680202907986111
2,P003-3,0.88682497,0.8085087,1.090828537940979,1.7777036428451538,5.0,8.0,0.4421657986111111
2,P003-4,0.82370067,0.78900284,2.2648184299468994,2.2892472743988037,8.746427536010742,8.0,0.5411783854166667
2,P004-1,0.85345465,0.8466786,3.8956074714660645,3.397287130355835,13.860916137695312,10.822430610656738,0.8565266927083334
2,P004-2,0.83802575,0.817056,1.9508864879608154,2.0987348556518555,8.474225997924805,8.385254859924316,3.0402289496527777
2,P004-3,0.85728216,0.8562482,1.7337372303009033,1.9310872554779053,8.0,8.0,1.1739095052083335
2,P005-1,0.93885684,0.85361487,0.5479981899261475,1.3292557001113892,2.5,7.905694007873535,0.7697211371527778
2,P005-2,0.91343755,0.8300226,1.11273992061615,1.5109244585037231,5.153882026672363,7.288690090179443,0.8897569444444444
2,P005-4,0.9065344,0.83726895,2.279435634613037,2.6795451641082764,8.0,8.0,0.3248426649305555
2,P006-1,0.8713904,0.76379806,1.959363579750061,3.677152633666992,8.0,10.455262184143066,0.7392035590277778
2,P006-2,0.8310007,0.67629755,1.9467836618423462,3.4912686347961426,8.0,16.0,0.3628200954861111
2,P006-3,0.87927526,0.7957004,2.09969162940979,2.7468369007110596,8.0,9.320672035217285,0.3309461805555555
2,P006-4,0.88948005,0.78853947,1.5120164155960083,2.6766130924224854,6.25,8.192984580993652,0.5805121527777778
2,P007-1,0.90438485,0.7864806,1.645032525062561,2.0774288177490234,8.0,8.0,1.2864854600694444
2,P007-2,0.88367754,0.729143,1.6063575744628906,2.508850574493408,8.0,8.474225997924805,0.8816189236111112
2,P007-3,0.93340695,0.81839466,0.5221748352050781,1.4144341945648193,2.5,8.0,0.6218804253472222
2,P007-4,0.89249074,0.80417603,1.7539557218551636,2.0333080291748047,8.0,8.0,0.7548014322916667
2,P008-1,0.89635813,0.7803553,1.4126770496368408,2.8310623168945312,6.25,9.516432762145996,1.403130425347222
2,P008-2,0.8805092,0.7688745,1.4183849096298218,2.597684860229492,6.7314558029174805,10.151969909667969,0.9379069010416666
2,P008-3,0.8798858,0.8503954,1.9873600006103516,1.9731559753417969,8.0,8.0,1.6615125868055556
2,P008-4,0.9038899,0.7862771,1.366201639175415,2.7336320877075195,8.0,8.835298538208008,0.8083767361111112
2,P009-1,0.9022461,0.76722854,1.123097538948059,2.2902915477752686,6.7314558029174805,9.433980941772461,0.5438910590277778
2,P009-2,0.89290553,0.6136419,1.1850744485855103,3.4550325870513916,6.25,16.856008529663086,0.8877224392361112
2,P009-3,0.83078843,0.6722936,3.5796148777008057,4.0302629470825195,12.434829711914062,14.028987884521484,1.4207628038194444
2,P009-4,0.8939763,0.7408071,1.4990952014923096,2.746204137802124,6.7314558029174805,10.965856552124023,0.7310655381944444
2,P010-1,0.84286565,0.78429675,2.5370936393737793,2.404541015625,8.0,8.0,0.7649739583333333
